Watching for file changes with StatReloader
Not Found: /api/v1/
[04/Jun/2026 11:54:56] "GET /api/v1/ HTTP/1.1" 404 19204
[04/Jun/2026 12:12:21] "OPTIONS /api/v1/reports/projects/251/report-templates/ HTTP/1.1" 200 0
[04/Jun/2026 12:12:21] "OPTIONS /api/v1/reports/projects/251/reports/ HTTP/1.1" 200 0
[04/Jun/2026 12:12:21] "OPTIONS /api/v1/reports/projects/251/reports/ HTTP/1.1" 200 0
[04/Jun/2026 12:12:21] "OPTIONS /api/v1/reports/projects/251/report-templates/ HTTP/1.1" 200 0
[04/Jun/2026 12:12:21] "OPTIONS /api/v1/reports/projects/251/reports/summary/ HTTP/1.1" 200 0
[04/Jun/2026 12:12:21] "OPTIONS /api/v1/reports/projects/251/reports/summary/ HTTP/1.1" 200 0
[04/Jun/2026 12:12:21] "GET /api/v1/reports/projects/251/reports/summary/ HTTP/1.1" 200 1139
[04/Jun/2026 12:12:21] "GET /api/v1/reports/projects/251/reports/ HTTP/1.1" 200 6169
[04/Jun/2026 12:12:22] "GET /api/v1/reports/projects/251/report-templates/ HTTP/1.1" 200 245
[04/Jun/2026 12:12:22] "GET /api/v1/reports/projects/251/reports/summary/ HTTP/1.1" 200 1139
[04/Jun/2026 12:12:22] "GET /api/v1/reports/projects/251/report-templates/ HTTP/1.1" 200 245
[04/Jun/2026 12:12:22] "GET /api/v1/reports/projects/251/reports/ HTTP/1.1" 200 6169
[04/Jun/2026 12:12:36] "GET /api/v1/notifications/?unread=true HTTP/1.1" 200 2
[04/Jun/2026 12:13:06] "GET /api/v1/notifications/?unread=true HTTP/1.1" 200 2
[04/Jun/2026 12:13:19] "OPTIONS /api/v1/reports/projects/251/reports/generate/ HTTP/1.1" 200 0
Internal Server Error: /api/v1/reports/projects/251/reports/generate/
Traceback (most recent call last):
  File "C:\Users\адм\diplom\venv\Lib\site-packages\django\core\handlers\exception.py", line 55, in inner
    response = get_response(request)
  File "C:\Users\адм\diplom\venv\Lib\site-packages\django\core\handlers\base.py", line 197, in _get_response
    response = wrapped_callback(request, *callback_args, **callback_kwargs)
  File "C:\Users\адм\diplom\venv\Lib\site-packages\django\views\decorators\csrf.py", line 65, in _view_wrapper
    return view_func(request, *args, **kwargs)
  File "C:\Users\адм\diplom\venv\Lib\site-packages\django\views\generic\base.py", line 105, in view
    return self.dispatch(request, *args, **kwargs)
           ~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\адм\diplom\venv\Lib\site-packages\rest_framework\views.py", line 515, in dispatch
    response = self.handle_exception(exc)
  File "C:\Users\адм\diplom\venv\Lib\site-packages\rest_framework\views.py", line 475, in handle_exception
    self.raise_uncaught_exception(exc)
    ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~^^^^^
  File "C:\Users\адм\diplom\venv\Lib\site-packages\rest_framework\views.py", line 486, in raise_uncaught_exception
    raise exc
  File "C:\Users\адм\diplom\venv\Lib\site-packages\rest_framework\views.py", line 512, in dispatch
    response = handler(request, *args, **kwargs)
  File "C:\Users\адм\diplom\reports\views.py", line 268, in post
    created_count = create_periodic_reports(
        project_id, template_id,
    )
  File "C:\Users\адм\diplom\reports\services.py", line 68, in create_periodic_reports
    collect_tasks_data(report)
    ~~~~~~~~~~~~~~~~~~^^^^^^^^
  File "C:\Users\адм\diplom\reports\services.py", line 116, in collect_tasks_data
    report.save(update_fields=['tasks_data'])
    ~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\адм\diplom\venv\Lib\site-packages\django\db\models\base.py", line 902, in save
    self.save_base(
    ~~~~~~~~~~~~~~^
        using=using,
        ^^^^^^^^^^^^
    ...<2 lines>...
        update_fields=update_fields,
        ^^^^^^^^^^^^^^^^^^^^^^^^^^^^
    )
    ^
  File "C:\Users\адм\diplom\venv\Lib\site-packages\django\db\models\base.py", line 1008, in save_base
    updated = self._save_table(
        raw,
    ...<4 lines>...
        update_fields,
    )
  File "C:\Users\адм\diplom\venv\Lib\site-packages\django\db\models\base.py", line 1138, in _save_table
    updated = self._do_update(
        base_qs, using, pk_val, values, update_fields, forced_update
    )
  File "C:\Users\адм\diplom\venv\Lib\site-packages\django\db\models\base.py", line 1203, in _do_update
    return filtered._update(values) > 0
           ~~~~~~~~~~~~~~~~^^^^^^^^
  File "C:\Users\адм\diplom\venv\Lib\site-packages\django\db\models\query.py", line 1288, in _update
    return query.get_compiler(self.db).execute_sql(ROW_COUNT)
           ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~^^^^^^^^^^^
  File "C:\Users\адм\diplom\venv\Lib\site-packages\django\db\models\sql\compiler.py", line 2060, in execute_sql
    row_count = super().execute_sql(result_type)
  File "C:\Users\адм\diplom\venv\Lib\site-packages\django\db\models\sql\compiler.py", line 1623, in execute_sql
    cursor.execute(sql, params)
    ~~~~~~~~~~~~~~^^^^^^^^^^^^^
  File "C:\Users\адм\diplom\venv\Lib\site-packages\debug_toolbar\panels\sql\tracking.py", line 243, in execute
    return self._record(super().execute, sql, params)
           ~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\адм\diplom\venv\Lib\site-packages\debug_toolbar\panels\sql\tracking.py", line 164, in _record
    return method(sql, params)
  File "C:\Users\адм\diplom\venv\Lib\site-packages\django\db\backends\utils.py", line 122, in execute
    return super().execute(sql, params)
           ~~~~~~~~~~~~~~~^^^^^^^^^^^^^
  File "C:\Users\адм\diplom\venv\Lib\site-packages\django\db\backends\utils.py", line 79, in execute
    return self._execute_with_wrappers(
           ~~~~~~~~~~~~~~~~~~~~~~~~~~~^
        sql, params, many=False, executor=self._execute
        ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
    )
    ^
  File "C:\Users\адм\diplom\venv\Lib\site-packages\django\db\backends\utils.py", line 92, in _execute_with_wrappers
    return executor(sql, params, many, context)
  File "C:\Users\адм\diplom\venv\Lib\site-packages\django\db\backends\utils.py", line 105, in _execute
    return self.cursor.execute(sql, params)
           ~~~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^
  File "C:\Users\адм\diplom\venv\Lib\site-packages\psycopg\cursor.py", line 113, in execute
    self._conn.wait(
    ~~~~~~~~~~~~~~~^
        self._execute_gen(query, params, prepare=prepare, binary=binary)
